Country,France,Germany,India,Indonesia,Italy,Japan,Korea,China
10-Jan,0,0,63.55,231.1,0,0.3045,0,2.145
10-Feb,0,0,118.9,226.5,0.0002277,0.5287,0,8.749
10-Mar,0.001383,0,296.8,252.3,0,0.8689,0,14.01
10-Apr,0.788,0.4512,400.8,256.9,0.627,1.338,0,18.71
10-May,6.679,0.8013,434.6,265.4,14.16,24.9,16.02,105
10-Jun,37.96,28.85,390,237.2,90.66,118.5,131.8,185.8
10-Jul,101.2,100.8,318.9,232.3,203.7,239.5,229.1,278.5
10-Aug,49.77,19.71,304.6,238.9,153.9,298,269.9,251.4
10-Sep,10.12,0.002685,276,227.5,48.31,180.4,132.9,149.2
10-Oct,2.455,0.0274,257.8,239.6,8.495,41.66,6.34,39.99
10-Nov,1.45E-08,0,161.4,233.3,0.4514,1.516,0,7.118
10-Dec,0,0,58.72,226.8,0.05266,0.6151,0,2.732
11-Jan,0,0,54.73,222.4,0,0.06821,0,0.04993
11-Feb,0,0,99.21,207.8,0,0.3104,0,2.275
11-Mar,0,0,242.2,228.4,0,0.2283,0,2.42
11-Apr,0.8632,0.201,316.4,227.7,2.129,1.952,0.1534,47.14
11-May,12.66,7.131,405.2,244,33.23,23.1,19.42,107.7
11-Jun,35.78,24.79,346.8,221.6,95.28,118,106,205.9
11-Jul,29.31,12.33,312.5,220.2,143.3,231.7,210.2,267.6
11-Aug,65.08,40.56,293.9,219.4,195.8,252.6,226.5,240
11-Sep,34.55,10.48,279.1,222.4,119.9,160.9,105.5,118.1
11-Oct,4.585,0.1253,257.3,241.8,15.58,29.47,2.286,37.67
11-Nov,0.02158,0,148.4,231.5,0.3037,6.889,3.148,19.43
11-Dec,0,0,76.3,238.7,0.0000858,0.6053,0,0.9067
12-Jan,0,0,56.64,228.5,0,0.2651,0,0.2624
12-Feb,0,0,106.6,217.4,0,0.3807,0,1.687
12-Mar,0.01706,0,232.4,236.1,0.1615,0.7208,0,9.199
12-Apr,0.4862,2.361,342.2,236.4,1.248,3.892,3.895,47.17
12-May,15.06,13.99,429.7,245.6,19.26,24.13,32,126.8
12-Jun,35.31,17.46,408.5,225.7,139.1,81.06,141.5,196.4
12-Jul,51.25,32.88,323.5,213.6,208.1,217.8,224.1,274.2
12-Aug,89.88,51.17,297.8,216.5,229.3,274.6,264.2,239.4
12-Sep,17.89,5.518,282.7,225.6,77.3,181,79.5,113.2
12-Oct,3.212,0.01255,236.6,248.4,21.01,32.62,3.055,46.81
12-Nov,0.001204,0,118.1,238,2.349,1.336,0,10.89
12-Dec,0,0,75.75,236.4,0,0.612,0,2.569
13-Jan,0,0,66,230.5,0,0.2999,0,0.6827
13-Feb,0,0,101.6,214.7,0,0.4795,0,5.353
13-Mar,0,0,242.6,250.4,0,1.007,0,16.18
13-Apr,0.2476,0.03533,339.7,245.6,2.535,1.961,0.2751,37.85
13-May,0.04684,0.6527,425.3,252.2,8.516,39.26,28.97,120.2
13-Jun,20.61,25.45,334.2,240.1,83.48,112.5,140.5,203.9
13-Jul,115.2,70.12,304.3,217.5,185.3,237,242.8,285.9
13-Aug,64.16,41.7,290.3,222.6,183.5,283.4,283.9,283.5
13-Sep,19.91,7.986,290.6,224.5,74.27,153.7,106.5,135.3
13-Oct,4.936,0,241.5,247.3,17.81,58.92,23.38,53.92
13-Nov,0.01013,0,116.5,231.2,1.713,1.905,0.1253,13.38
13-Dec,0,0,60.71,228.3,0,0.36,0,0.5428
14-Jan,0,0,61.24,213.6,0,0.2355,0,0.4602
14-Feb,0,0,83.74,205.4,0,0.3163,0,1.991
14-Mar,0,0,213.1,242,0,0.4682,0.06668,11.86
14-Apr,0.02768,0,343.9,240.4,0.1835,1.258,0.6015,37.19
14-May,1.617,6.335,405.5,258.4,11.66,35.85,41.73,123.7
14-Jun,44.29,24.71,406.8,242.9,107.3,110.2,120.7,191
14-Jul,64.91,64.83,332.9,230.3,128.8,220.7,222.5,265.8
14-Aug,31.96,16.57,316.4,221.5,140.7,231.1,188.8,216.3
14-Sep,26.57,3.06,288.8,225.6,66.64,117,99.2,138.1
14-Oct,5.905,0.01854,257.8,255.3,28.16,34.64,7.428,56.48
14-Nov,0.009769,0,141.9,243.4,1.607,2.587,0.009185,13.13
14-Dec,0,0,65.17,237.7,0.06338,0.2894,0,0.3962
15-Jan,0,0,57.32,227.2,0,0.1451,0,0.6756
15-Feb,0,0,118.1,204.6,0,0.23,0,4.283
15-Mar,0,0,219.8,238.4,0.0001779,0.6076,0,15.53
15-Apr,0.3433,0,309.6,236.8,0.09229,5.28,2.419,50.89
15-May,5.221,0.8739,424,251.1,27.74,57.2,33.46,121.2
15-Jun,52.1,21.09,366.3,232.7,112,93.19,121.4,196
15-Jul,120.6,87.19,331.9,234.6,255,218.1,206.4,243.3
15-Aug,87.91,83.11,318,230.5,192.6,241.7,231.3,231.2
15-Sep,7.588,1.484,313.4,233.8,81.38,111.6,96.93,132
15-Oct,0.5981,0,280.1,263.1,12.73,19.86,3.788,53.37
15-Nov,0.01212,0,169.6,256,0.1996,4.601,0.07547,20.02
15-Dec,0,0,88.83,250.7,0,1.01,0,2.178
16-Jan,0,0,72.22,260.8,0,0.5277,0,1.298
16-Feb,0,0,142.2,230,0.001568,0.2581,0,1.427
16-Mar,0.00001638,0,273,265.9,0.009454,0.5811,0,6.299
16-Apr,0,0,397.5,261.5,1.27,3.318,1.337,45.67
16-May,1.84,4.753,415.4,271.7,13.82,50.31,41.46,106.9
16-Jun,28.57,24.36,379.1,244.8,90.56,110.5,131.6,199.7
16-Jul,79.82,54.61,312.3,246.1,192.2,218.9,229.2,279.6
16-Aug,86.21,40.14,312.5,245.7,161.1,268.3,273.7,264.1
16-Sep,44.74,29.63,293,241.4,84.02,170.3,123.2,149.4
16-Oct,0.6434,0,262.4,246.5,13.76,55.66,18.88,65.63
16-Nov,0.006401,0,136.3,240.1,0.9853,2.492,0.01943,15.07
16-Dec,0,0,75.32,244.9,0.0002612,1.243,0,4.041
17-Jan,0,0,67.76,238.5,0,0.5948,0,2.915
17-Feb,0,0,120,209.4,0,0.2401,0,2.242
17-Mar,0.0004272,0,237.8,243.7,0,0.4814,0,6.533
17-Apr,0.02198,0,370.3,240.9,0.2627,2.843,1.788,44.03
17-May,25.87,19.99,425.6,255.8,37.8,48.27,38.6,133.5
17-Jun,82.73,40.75,368,236.6,153.6,94.33,119.9,188.7
17-Jul,86.58,44.92,318.2,233.1,197.5,259.1,257.4,297.4
17-Aug,79.46,36.75,314.6,231.9,224.2,252.4,231.9,259.4
17-Sep,6.52,0.4314,308.5,238.3,47.68,126.4,92.42,156.5
17-Oct,1.765,0.03367,275.4,255,6.814,34.96,16.47,46.92
17-Nov,0.0001659,0,138.8,235,0.04801,2.271,0.02317,13.11
17-Dec,0,0,73.78,242.3,0,0.3971,0,1.058
18-Jan,0,0,62.35,233.7,0,0.3846,0,1.519
18-Feb,0,0,119.5,207.5,0,0.3517,0,2.411
18-Mar,0,0,264.1,241.2,0.002902,0.7978,0.0005644,16.56
18-Apr,4.061,2.39,345.9,249.4,7.445,7.483,2.033,59.2
18-May,11.99,25.07,413.3,256.1,35.79,48.79,30.47,138.8
18-Jun,49.58,36.78,380.6,237.7,112.3,116.5,120,212.3
18-Jul,131.4,98.52,323.2,225.3,197.2,278.2,268.4,289.5
18-Aug,103.2,90.38,305.9,227.4,195.1,281,295.3,268.5
18-Sep,33,15.5,291.6,230.6,98.37,137.2,89.31,140.3
18-Oct,5.446,1.546,258.4,257.5,16.29,37.19,4.026,33.14
18-Nov,0.002769,0,150.9,244.7,0.8783,2.799,0.004608,13.81
18-Dec,0,0,66.26,248.8,0.00002653,1.469,0.003836,5.502
19-Jan,0,0,53.77,242.6,0,0.5089,0,1.469
19-Feb,0,0,104,223.1,0,0.837,0,5.983
19-Mar,0,0,228.6,245.8,0,0.8377,0,12.29
19-Apr,0.047,0.06325,360.5,252.5,0.3195,4.632,1.206,52.61
19-May,1.22,0.2601,431.8,261.6,1.656,49.87,39.93,113.9
19-Jun,73.49,78.24,410.7,229.9,161.7,105.2,101.3,207.8
19-Jul,120.3,72.76,335.9,226.2,207.4,192.8,216,269.7
19-Aug,86.64,58.92,315.6,226.1,205.9,277.5,255.7,255.3
19-Sep,23.79,2.456,285.3,231.6,85.32,187.6,121.6,156.3
19-Oct,3.016,0.394,245,257.9,18.01,56.6,19.25,59.12
19-Nov,0.0009756,0,160.6,259.7,1.468,2.349,0.04685,14.86
19-Dec,0,0,73.87,255.4,0.0006191,1.025,0,3.519
20-Jan,0,0,64.38,251.9,0,0.5975,0,4.057
20-Feb,0,0,99.75,231.4,0.000003826,0.5639,0,4.886
20-Mar,0,0,207.6,256.2,0,0.9333,0,16.55
20-Apr,0.002972,0,325.5,252.9,0.1441,1.013,0.7551,30.79
20-May,14.85,1.127,393,265,26.16,43.93,22.72,143.3
20-Jun,36.01,25.79,341.6,237.8,82.6,139.8,141.6,217.5
20-Jul,85.8,35.61,331,229,182.5,181.3,160.1,244.3
20-Aug,114.6,94,314.4,242.4,202.8,306.7,263.5,263.8
20-Sep,44.14,10.87,308.4,238.9,101.1,170.6,85.53,133.3
20-Oct,0.2796,0.0001245,270.9,248.1,8.451,30.24,5.955,37.93
20-Nov,0.004001,0.02746,132.8,243.2,0.1326,5.787,0.9971,19.43
20-Dec,0,0,72.78,234.5,0.001522,0.9608,0,1.936
21-Jan,0,0,75.93,224.9,0.0003652,0.3825,0,0.9869
21-Feb,0,0,109.5,209.5,0,0.5582,0,5.034
21-Mar,0.03657,0,264.4,239.4,0,1.068,0,19.26
21-Apr,0.09287,0,342.8,241.8,0.4137,2.263,2.874,33.96
21-May,2.529,1.907,356.9,259.1,9.291,40.44,19.74,127.2
21-Jun,55.87,56.16,336.8,235.7,144.9,118.9,120.5,215.9
21-Jul,57.82,30.26,332.8,236.5,196.2,234.8,272.6,280.4
21-Aug,45.82,13.89,314,235,193.5,251.7,228.4,236.2
21-Sep,36.94,5.034,290.4,233.3,97.35,137.6,122,180.3
21-Oct,0.9713,0.07988,263.5,254.1,9.813,61.01,38.89,59.84
21-Nov,0.00007338,0,133,233.5,1.627,2.063,0.1085,11.11
21-Dec,0,0,71.93,241.8,0,0.6817,0,2.152
22-Jan,0,0,56.75,237.7,0,0.3781,0,1.396
22-Feb,0,0,89.05,210.7,0,0.2913,0,0.6885
22-Mar,0,0,273.5,246.8,0,0.9886,0,22.49
22-Apr,0.2162,0,379.1,242.4,0.08276,12.15,4.914,52.02
22-May,26.84,10.06,402.9,256.8,60.8,39.68,35.39,100.9
22-Jun,73.5,47.97,380.1,223.7,184.9,135.1,138.7,229.3
22-Jul,133.5,68.73,326,234.1,252.1,254.2,257.5,294
22-Aug,137.8,90.4,314.8,233.5,209.6,272,231.1,288.7
22-Sep,35.78,8.641,292.6,231.5,92.21,179.1,110,157.5
22-Oct,7.651,0.1096,240.1,232.9,18.49,35.81,12.03,53.55
22-Nov,0.06032,0,132.4,229.1,1.201,3.586,0.4792,24.03
22-Dec,0,0,81.37,232.2,0.03475,0.752,0,0.3955
