Country,France,Germany,India,Indonesia,Italy,Japan,Korea,China
10-Jan,187014,129073,699328,706091,259245,359591,387819,447817
10-Feb,308678,231205,811408,809197,379977,453664,452260,563826
10-Mar,528069,429648,955029,770215,596905,583510,575167,740907
10-Apr,807343,725648,1019466,740518,802408,681800,770367,854772
10-May,786251,606280,997795,685272,883742,789496,854970,888743
10-Jun,877686,856005,837424,659297,997143,773817,882362,919856
10-Jul,929646,876738,612971,656463,1040180,744911,725627,864041
10-Aug,742643,576164,603199,721477,901512,791232,685094,822657
10-Sep,602704,433456,654306,746398,657734,646406,621299,694068
10-Oct,384788,293227,709062,760571,425496,462917,564521,592653
10-Nov,193842,126284,603960,739548,287206,388578,467329,485911
10-Dec,156172,95711,625782,674108,241897,310456,362657,416085
11-Jan,196893,120322,718106,714535,280807,374680,411562,451988
11-Feb,304368,244325,807364,777937,422518,490731,526071,576235
11-Mar,534951,481070,960666,725647,599205,685039,781544,755040
11-Apr,837859,734657,995273,725003,849402,806240,853842,910031
11-May,954518,869417,1012522,698927,983741,740136,802189,949477
11-Jun,857514,810495,773760,675825,1004208,729898,802926,922323
11-Jul,834419,682087,638626,731829,1006916,793480,654138,892021
11-Aug,783693,652306,568755,771419,957688,744918,594671,851951
11-Sep,607342,496492,653998,787269,711470,603462,675972,708343
11-Oct,411784,318655,771887,807080,501780,502267,571252,591889
11-Nov,237612,185369,698879,755555,317100,358883,347039,454305
11-Dec,145934,81959,657586,670843,252244,308504,348543,402093
12-Jan,180576,119756,675950,705932,303240,356091,400177,430534
12-Feb,367435,236271,838583,769405,433169,442603,525427,559936
12-Mar,614712,455516,987202,709340,708999,608190,645247,738257
12-Apr,653453,637723,993073,757700,760715,765486,816621,897161
12-May,849532,835022,1047918,709990,949268,813729,928948,948337
12-Jun,846941,736375,854013,696923,1072288,737060,852844,897807
12-Jul,902476,776248,625862,673049,1059736,779416,719573,858977
12-Aug,838733,727415,590861,764868,949942,772668,644607,830164
12-Sep,588507,488406,666560,841081,655128,625941,624658,712241
