Country,France,Germany,India,Indonesia,Italy,Japan,Korea,China
10-Jan,454.6,589.6,40.27,0.05008,355.5,361.5,575.9,425.1
10-Feb,339.1,444.1,7.361,0.04314,274,300.3,382.2,324.5
10-Mar,280.2,350.3,3.54,0.04184,227.2,265.1,329.5,247.5
10-Apr,149.5,205.4,2.057,0.03789,101.6,152.1,188,116.6
10-May,117.5,166.7,1.364,0.03669,35.46,33.58,18.73,13.96
10-Jun,18.59,32.41,0.929,0.05032,4.807,2.437,0.05981,2.619
10-Jul,0.9531,3.022,0.4149,0.07904,1.103,0.05693,0,1.065
10-Aug,8.509,20.85,0.2771,0.07412,2.737,0.0001357,0,1.523
10-Sep,45.4,99.15,0.763,0.05829,11.76,3.019,5.572,13.13
10-Oct,148.5,231,2.21,0.06682,88.15,30,64.63,80.58
10-Nov,263.3,326.2,4.188,0.05466,161.7,147,265.7,187.2
10-Dec,442.9,592.3,20.06,0.06618,330.7,279.1,483.2,374.7
11-Jan,361.7,451.4,48.97,0.08259,329.2,428.3,662.7,534
11-Feb,278.8,400.1,8.153,0.07933,264.4,298.4,395.6,321.4
11-Mar,231.9,324.4,4.751,0.07417,214,313.7,360.1,241.6
11-Apr,77.28,117.7,2.995,0.07049,62.48,126.5,152.1,73.98
11-May,38.63,72.69,1.191,0.06472,17.78,28.01,16.21,18.54
11-Jun,22.09,26.84,0.6564,0.09402,3.958,4.24,0.1226,2.325
11-Jul,10.86,28.3,0.3384,0.1382,3.045,0.1214,0,1.521
11-Aug,6.744,16.09,0.3107,0.1222,1.314,0.01529,0,1.708
11-Sep,14.82,38.4,0.6627,0.1012,3.438,2.45,2.477,17.37
11-Oct,103.3,194.4,2.395,0.09572,73.79,26.16,67.87,60.28
11-Nov,188.2,327.3,4.175,0.06763,174.7,111.1,156.5,170.3
11-Dec,276.5,363.1,27.87,0.05178,267,329.6,482.6,404.6
12-Jan,321.1,421.5,38.1,0.08639,338.9,407,543.2,471.5
12-Feb,431.2,523.6,14.49,0.07237,366.7,372.4,489.6,383.6
12-Mar,198.2,263.1,5.131,0.07507,148.8,277.5,324.3,241.3
12-Apr,197.7,231.6,2.814,0.07883,112.9,115.7,118.1,51.1
12-May,68.19,78.45,1.717,0.08656,30.23,23.61,4.415,9.532
12-Jun,19.75,43.84,0.8695,0.118,2.688,4.199,0.007764,2.333
12-Jul,6.628,15.22,0.3287,0.1256,1.384,0.157,0,1.272
12-Aug,2.663,4.767,0.2917,0.1482,1.222,0.01526,0,1.663
12-Sep,40.97,76.11,0.7425,0.1143,7.232,0.3781,0.9575,11.88
12-Oct,114,213,2.868,0.09057,53.03,27.21,60.23,63.13
12-Nov,237.9,312.6,5.154,0.07225,131.4,166.5,288.1,233.2
12-Dec,309,427.8,26.7,0.05408,319.4,348.6,566.8,433.9
13-Jan,376.4,477.3,51.35,0.07242,311.4,403.3,564.2,450.1
13-Feb,370.6,458.3,9.55,0.06467,310.3,338.7,450.9,319.7
13-Mar,317.6,475.3,4.339,0.06151,231.6,217,314.2,186.4
13-Apr,182.4,226.9,2.707,0.06525,88.78,121.1,174.9,92.44
13-May,133.3,130.6,1.486,0.066,37.34,34.46,22.05,10.37
13-Jun,28.44,47.92,0.5735,0.0912,6.405,2.158,0.009303,2.31
13-Jul,1.117,1.623,0.2576,0.1311,0.9105,0.02195,0,1.356
13-Aug,2.664,6.451,0.2869,0.1424,1.763,0.03823,0,1.959
13-Sep,27.08,86.27,0.7101,0.1145,5.876,1.687,0.3526,11.23
13-Oct,76.88,154,1.949,0.1035,35.1,23.29,56.33,67
13-Nov,263,332.5,5.387,0.07974,162.7,159.2,270.7,200.1
13-Dec,324.1,375.4,19.08,0.06778,279.6,314.8,462.5,392.4
14-Jan,286.1,407,35.77,0.09152,260.7,376.4,487,380.7
14-Feb,251.2,313.6,14.47,0.09095,202.5,336.5,378.8,351.7
14-Mar,221.5,264.6,5.7,0.06977,178.4,252.7,260.3,174.8
14-Apr,119.3,142.1,3.121,0.07324,79.13,107.3,85.87,45.56
14-May,80.04,115.3,1.703,0.07827,30.28,19.74,18.06,17.58
14-Jun,11.47,28.23,0.6739,0.1013,4.124,1.547,0.009097,2.405
14-Jul,5.324,6.708,0.2935,0.1406,2.499,0.0782,0,1.401
14-Aug,11.84,34.15,0.3922,0.1426,3.039,0.05195,0,2.064
14-Sep,16.64,42.25,0.8127,0.1416,6.477,2.286,0.0721,11.6
14-Oct,64.54,117,2.494,0.08705,42.36,31.15,51.17,53.04
