Country,France,Germany,India,Indonesia,Italy,Japan,Korea,China
10-Jan,1.336,-3.02,17.88,26.2,4.531,4.364,-2.579,2.443
10-Feb,3.888,0.1401,21.92,27.68,6.216,5.323,2.352,4.933
10-Mar,6.962,4.7,28.13,27.79,8.672,7.52,5.371,8.797
10-Apr,11.15,9.235,32.93,28.81,12.8,11.05,9.739,13.28
10-May,12.76,10.73,34.61,28.88,16.15,16.75,16.85,20.75
10-Jun,17.77,16.83,34.61,27.26,20.63,21.79,22.37,24.77
10-Jul,21.08,20.77,32.87,26.35,24.87,26.94,26.02,29.68
10-Aug,18.7,16.97,32.26,26.77,22.85,30.64,28.74,28.51
10-Sep,15.42,12.75,30.34,26.47,18.72,24.76,22.22,23.12
10-Oct,11.53,8.57,27.81,26.82,13.93,17.67,14.7,15.72
10-Nov,7.226,5.127,23.39,26.88,10.73,11.21,7.143,10.28
10-Dec,1.714,-3.108,18.5,25.94,5.356,7.039,0.4136,4.116
11-Jan,4.331,1.437,17.23,25.57,5.38,2.194,-5.379,-1.218
11-Feb,6.044,1.711,21.04,26.16,6.557,5.373,1.873,4.724
11-Mar,8.521,5.535,25.99,26.02,9.096,5.901,4.383,8.418
11-Apr,13.69,12.18,29.44,26.51,14.21,12.02,10.98,16.07
11-May,15.89,14.41,33.6,27.19,17.65,16.98,17.05,20.58
11-Jun,17.49,16.82,33.29,26.38,20.87,21.96,21.49,25.73
11-Jul,17.7,16.3,32.32,25.82,22.52,26.52,25.14,28.82
11-Aug,19.35,18.03,31.22,25.78,24.41,27.95,25.88,27.43
11-Sep,17.82,15.65,30.4,26.27,21.77,23.71,21.23,21.46
11-Oct,13.11,9.836,27.63,26.91,14.83,17.3,14.16,16.22
11-Nov,9.751,5.089,22.87,26.85,10.28,12.92,11.15,11.47
11-Dec,7.081,4.288,18.92,26.75,7.392,5.41,0.4329,3.039
12-Jan,5.642,2.402,17.64,26.05,5.069,2.893,-1.524,0.821
12-Feb,1.13,-2.054,20.82,26.29,3.357,3.186,-0.8814,2.911
