Country,France,Germany,India,Indonesia,Italy,Japan,Korea,China
10-Jan,84.25,88.6,64.07,85.17,77.96,67.98,65.06,58.36
10-Feb,79.13,84.96,56.11,84.21,76.92,70.83,66.55,58.11
10-Mar,69.76,75.23,47.94,84.65,74.53,70.39,67.26,52.2
10-Apr,67.09,65.49,45.39,84.94,74.11,70.54,64.03,51.75
10-May,72.6,78.53,51.5,85.57,73.7,74.56,71.82,57
10-Jun,72.45,68.83,63.66,84.78,70.91,81.56,76.21,60.84
10-Jul,66.48,63.87,80.69,84.98,67.78,83.86,83.72,65.23
10-Aug,70.19,78.28,83.23,84.15,69.69,80.35,84.63,65.05
10-Sep,72.47,80.63,80.41,84.63,72.78,75.62,78.13,66.49
10-Oct,77.43,82.06,70.72,83.81,77.56,74.21,70.57,62.16
10-Nov,85.59,87.95,72.97,84.7,81.71,68.7,61.07,58.42
10-Dec,83.49,90.13,65.94,84.75,76.65,69.91,63.36,55.01
11-Jan,83.06,89.42,59.93,84.74,79.69,66.77,58.84,56.45
11-Feb,81.82,80.01,58.24,83.81,73.67,68.97,65.93,56.64
11-Mar,72.53,71.2,49,84.99,74.32,64.37,56.45,50.16
11-Apr,65.23,63.71,50.56,85.18,68.68,66.56,64.76,48.51
11-May,63.3,60.9,53.93,84.38,68.65,76.87,72.36,53.16
11-Jun,68.77,71.17,68.95,82.77,72.67,83.53,79.2,61.24
11-Jul,68.78,74.82,79.43,82.1,67.94,82.5,85.52,64.27
11-Aug,71.43,75.98,83.29,80.62,65.08,81.6,84.8,64.52
11-Sep,73.73,77.62,79.91,82.1,70.07,78.37,74.2,62.41
11-Oct,76.57,81.81,65.98,83.38,70.82,72.89,67.46,60.04
11-Nov,84.84,88.95,63.04,84.42,78.24,72.75,71.83,63.67
11-Dec,84.13,87.2,62.54,85.51,74.88,68.56,60.8,60.27
12-Jan,83.32,85.66,64.04,84.64,71.36,68.02,60.27,62.12
12-Feb,72.33,80.89,52.09,84.8,72.1,69.03,57.67,55.46
12-Mar,68.64,74.37,45.07,84.33,67.84,69.71,63.99,53.47
12-Apr,74.33,70.2,50.21,84.49,75.24,71.88,66.06,50.42
12-May,72.5,66.34,48.42,84,70.22,76.19,70.55,55.07
12-Jun,73.36,74.22,60.14,82.34,65.77,81.8,77.44,63.13
12-Jul,68.44,74.02,77.57,83.02,63.49,83.68,84.52,67.38
12-Aug,65.72,69.35,81.46,81.2,62.52,81.06,82.01,66
12-Sep,71.27,75.54,79.16,80.41,72.32,78.87,77.26,63.22
12-Oct,80.88,83.16,65.71,82.36,78.24,70.66,67,57.39
12-Nov,84.5,88.69,63.23,84.72,80.43,70.63,63.21,58.67
12-Dec,82.88,88.44,63.77,85.51,75.65,70.24,66.35,60.01
13-Jan,84.88,88.01,61.11,85.12,78.51,67.77,65.94,60.34
13-Feb,78.97,86.67,60.66,85.22,74.26,68.23,60.43,58.28
13-Mar,75.58,76.01,49.62,84.17,77.6,67.56,61.8,49.43
13-Apr,71.6,71.42,49.4,84.75,74.41,68.43,64.39,50.7
13-May,76.56,78.2,50.15,85.05,72.67,74.32,72.38,55.94
13-Jun,73.19,73.61,73.08,83.41,68.47,82.4,80.42,61.09
13-Jul,67.89,67.46,81.84,84.16,67.6,82.32,84.52,65.53
13-Aug,67.15,69.49,82.51,81.91,66,80.12,80.19,63.84
13-Sep,74.93,80.89,77.71,81.96,71.04,76.55,75.6,62.28
13-Oct,81.83,82.86,75.59,82.13,80.29,75.42,70.23,57.86
13-Nov,82.38,88.6,65,84.53,78.05,69.82,66.03,59.32
13-Dec,81.01,86.29,64.44,85.95,77.42,69.04,65.49,59.26
14-Jan,84.7,87.92,67.31,84.36,81.97,66.51,59.09,54.68
14-Feb,79.01,80.03,61.38,82.53,79.96,69.71,65.51,58.25
14-Mar,70.41,72.97,55.3,83.57,72.9,68.8,65.08,51.9
14-Apr,71.09,73.2,47.51,84.41,74.55,66.9,65.49,51.41
14-May,71.99,73.76,53.14,84.72,70.36,72.35,65.83,53.1
14-Jun,66.25,68.2,60.81,83.93,68.34,82.34,79.07,61.79
14-Jul,74.16,72.26,76.14,82,71.49,82.57,81.91,64.71
