Country,France,Germany,India,Indonesia,Italy,Japan,Korea,China
10-Jan,1.36,-3.488,16.83,25.8,5.045,4.096,-0.2081,-6.602
10-Feb,3.697,-0.348,20.39,26.3,6.455,4.735,3.161,-4.096
10-Mar,6.64,4.317,25.75,26.26,8.516,6.823,5.682,1.196
10-Apr,10.93,8.849,29.33,26.55,12.28,10.36,9.534,6.768
10-May,12.46,10.51,30.37,26.7,15.55,15.4,15.93,13.69
10-Jun,17.32,16.44,29.1,26.04,19.89,20.45,21.25,18.25
10-Jul,20.65,20.56,26.71,25.63,23.72,24.18,24.72,20.93
10-Aug,18.49,16.9,26.39,25.72,22.45,26.22,26.49,19.59
10-Sep,15.23,12.63,25.69,25.78,18.56,22.74,22.12,15.17
10-Oct,11.38,8.367,24.68,26.02,14.1,17.24,15.38,7.73
10-Nov,7.068,4.893,21.53,25.91,10.89,11.15,8.362,0.8746
10-Dec,1.899,-3.447,17.12,25.67,5.958,6.711,2.326,-6.057
11-Jan,4.052,1.086,16.1,25.53,5.834,1.674,-3.095,-10.45
11-Feb,5.832,1.039,19.64,25.74,6.653,5.001,2.815,-3.44
11-Mar,8.262,5.036,24.04,25.67,8.807,5.416,4.715,0.06365
11-Apr,13.31,11.71,26.68,25.84,13.38,10.91,10.65,8.628
11-May,15.59,13.99,29.53,26.05,16.67,15.45,16.12,13.54
11-Jun,17.11,16.64,28.03,25.59,20.25,20.15,20.59,18.22
11-Jul,17.49,16.27,26.69,25.37,21.94,23.89,24.2,20.2
11-Aug,19.22,17.84,26.05,25.37,23.51,24.9,24.68,19.44
11-Sep,17.65,15.39,25.74,25.52,21.33,22.21,21.12,14.37
11-Oct,12.95,9.638,24.67,25.8,14.86,16.81,14.77,8.234
11-Nov,9.87,4.762,21.43,25.96,10.88,12.58,11.75,1.483
11-Dec,6.871,4.039,17.8,25.9,7.943,5.206,2.011,-6.005
12-Jan,5.311,2.072,16.36,25.77,5.6,2.634,0.06058,-9.274
12-Feb,0.7473,-2.275,19.41,25.69,3.554,2.674,0.3016,-5.415
12-Mar,9.378,7.078,23.72,25.81,10.69,6.515,5.723,0.9205
12-Apr,9.161,8.23,27.47,25.94,12.09,11.59,12,8.933
12-May,14.57,14.26,29.89,26.03,15.91,15.98,17.09,14.15
12-Jun,17.41,15.54,29.43,25.71,21.86,19.37,21.14,17.99
12-Jul,18.44,17.5,26.94,25.16,24.02,23.62,24.67,20.25
