Country,France,Germany,India,Indonesia,Italy,Japan,Korea,China
10-Jan,0.1042,0.07433,0.01832,0.4184,0.1596,0.1279,0.04902,0.02866
10-Feb,0.1346,0.09025,0.02983,0.3476,0.1692,0.1768,0.1178,0.04524
10-Mar,0.09103,0.08403,0.03992,0.4298,0.1234,0.2294,0.1272,0.0653
10-Apr,0.05226,0.04485,0.07511,0.4123,0.1021,0.2726,0.1407,0.09756
10-May,0.1232,0.1512,0.1158,0.4023,0.1591,0.2345,0.1478,0.1392
10-Jun,0.1177,0.07298,0.2484,0.3669,0.1127,0.3142,0.1372,0.161
10-Jul,0.0651,0.1083,0.4701,0.3614,0.05425,0.3328,0.2793,0.1898
10-Aug,0.09575,0.2321,0.4159,0.3477,0.08915,0.1747,0.2776,0.1652
10-Sep,0.09023,0.132,0.3034,0.4018,0.1414,0.2439,0.2773,0.1386
10-Oct,0.1286,0.05869,0.1262,0.3986,0.1947,0.242,0.07478,0.06528
10-Nov,0.1663,0.1462,0.1052,0.4256,0.2521,0.1296,0.01562,0.02539
10-Dec,0.141,0.133,0.04873,0.4209,0.1407,0.2113,0.05439,0.03119
11-Jan,0.07947,0.0929,0.01925,0.3839,0.08577,0.1045,0.01989,0.01907
11-Feb,0.07261,0.05403,0.04198,0.3429,0.1119,0.1368,0.08756,0.02864
11-Mar,0.07937,0.03229,0.04059,0.4319,0.1556,0.1033,0.03133,0.0378
11-Apr,0.03524,0.04407,0.06952,0.4165,0.07085,0.1581,0.1504,0.04847
11-May,0.05071,0.06311,0.08528,0.3455,0.07466,0.3209,0.1625,0.1048
11-Jun,0.09929,0.1343,0.296,0.2568,0.1093,0.3559,0.3155,0.17
11-Jul,0.1211,0.1798,0.3909,0.1947,0.08853,0.2482,0.4631,0.1679
11-Aug,0.09903,0.1472,0.4597,0.1957,0.03473,0.2094,0.2773,0.1362
11-Sep,0.06284,0.08761,0.2915,0.2825,0.08834,0.3945,0.1136,0.1152
11-Oct,0.07236,0.07251,0.07409,0.3136,0.1021,0.2076,0.07316,0.06114
11-Nov,0.1007,0.00617,0.03381,0.4066,0.1264,0.1808,0.1532,0.05093
11-Dec,0.194,0.1767,0.0196,0.473,0.08789,0.1403,0.03264,0.01524
12-Jan,0.08882,0.1545,0.04015,0.3868,0.06315,0.1181,0.0349,0.03162
12-Feb,0.02867,0.05198,0.02606,0.403,0.1381,0.1791,0.03922,0.03462
12-Mar,0.04326,0.03175,0.02568,0.4357,0.04619,0.2098,0.1249,0.05811
12-Apr,0.1931,0.08343,0.07378,0.3875,0.1654,0.1988,0.2113,0.09083
12-May,0.1277,0.08456,0.05611,0.3324,0.108,0.1824,0.06182,0.1148
